Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID
"Machalaba C., Romanelli C., Stoett P., Baum S.E., Bouley T.A., Daszak P., Karesh W.B.","Climate change and health: Transcending silos to find solutions",2015,"Annals of Global Health","81","3",,"445","458",,"10.1016/j.aogh.2015.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950236499&doi=10.1016%2fj.aogh.2015.08.002&partnerID=40&md5=beced287222007f0eb047145bc77a6bb","BACKGROUND Climate change has myriad implications for the health of humans, our ecosystems, and the ecological processes that sustain them. Projections of rising greenhouse gas emissions suggest increasing direct and indirect burden of infectious and noninfectious disease, effects on food and water security, and other societal disruptions. As the effects of climate change cannot be isolated from social and ecological determinants of disease that will mitigate or exacerbate forecasted health outcomes, multidisciplinary collaboration is critically needed. OBJECTIVES The aim of this article was to review the links between climate change and its upstream drivers (ie, processes leading to greenhouse gas emissions) and health outcomes, and identify existing opportunities to leverage more integrated global health and climate actions to prevent, prepare for, and respond to anthropogenic pressures. METHODS We conducted a literature review of current and projected health outcomes associated with climate change, drawing on findings and our collective expertise to review opportunities for adaptation and mitigation across disciplines. FINDINGS Health outcomes related to climate change affect a wide range of stakeholders, providing ready collaborative opportunities for interventions, which can be differentiated by addressing the upstream drivers leading to climate change or the downstream effects of climate change itself. CONCLUSIONS Although health professionals are challenged with risks from climate change and its drivers, the adverse health outcomes cannot be resolved by the public health community alone. A phase change in global health is needed to move from a passive responder in partnership with other societal sectors to drive innovative alternatives. It is essential for global health to step outside of its traditional boundaries to engage with other stakeholders to develop policy and practical solutions to mitigate disease burden of climate change and its drivers; this will also yield compound benefits that help address other health, environmental, and societal challenges. © 2015 The Authors. Published by Elsevier Inc.","Adaptation; Climate change; Environmental change; Global health; Mitigation; Multidisciplinary collaboration; Prevention","carbon footprint; climate change; environmental change; environmental impact; environmental management; environmental planning; environmental sanitation; health status; human; nonhuman; public health; Review; catering service; ecosystem; greenhouse effect; health; public health; water supply; Climate Change; Ecosystem; Food Supply; Global Health; Greenhouse Effect; Humans; Public Health; Water Supply",Editorial,"Final",Scopus,2-s2.0-84950236499
"Dovie D.B.K.","Africa's Environment: A Stressed Biogeographical and Cultural Landscape",2015,"International Encyclopedia of the Social & Behavioral Sciences: Second Edition",,,,"292","299",,"10.1016/B978-0-08-097086-8.10113-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009859179&doi=10.1016%2fB978-0-08-097086-8.10113-8&partnerID=40&md5=b3aa3ae2a0a284280f48c2aaa2abb884","Humans are an important component of the biophysical environment in Africa, interacting with its resources through prisms of knowledge structures to harness and manage resources sustainably. A review of the human sphere (e.g., population and migration, land and land use, agriculture, and food security) and the ecosphere (e.g., environmental change, biodiversity, water, and coastal resources) is undertaken. The review suggests an environment which is generally degraded, and blamed on biophysical processes and policy failures. Mainstreaming policies and decision-support systems of different sectors and development processes would help reduce conflicts in resource use toward maintaining the integrity of Africa's environment. © 2015 Elsevier Ltd. All rights reserved.","Climate change; Developmental risks; Ecosystem degradation; Environmental change; Food insecurity; Knowledge generation; Land degradation; Livelihood strategies; Millennium development goals; Population growth rate; Poverty; Regional development planning; Water insecurity",,Book Chapter,"Final",Scopus,2-s2.0-85009859179
"Miyan M.A.","Droughts in asian least developed countries: Vulnerability and sustainability",2015,"Weather and Climate Extremes","7",,,"8","23",,"10.1016/j.wace.2014.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928774154&doi=10.1016%2fj.wace.2014.06.003&partnerID=40&md5=1358733ba66d3b0fa8df0b6033ead229","Droughts occur both in developed and developing countries with significant impacts and are exacerbating in frequency, severity and duration. Over exploitation of water resources, weather variability and climate change are mostly responsible for such exacerbation. The impacts of droughts encompass the global ecosystem as a whole but vary from region to region. Least developed countries (LDCs) are becoming the worst sufferer of the impacts due to physical, social and economic as well as knowledge and skills differences. The increasing biophysical vulnerability contexts and intensity in the Asian LDCs causing adverse effects on food security, human health, biodiversity, water resources, hydroelectric power generation, streams, perennial springs, and livelihood. Drought is also responsible for increasing pollution, pests and diseases and forced migration and famine. Information indicates monsoon has become erratic contributing to up-scaling of droughts. South and Southeast Asian LDCs like Bangladesh, Nepal, Bhutan, Cambodia and Lao PDR under the monsoon climatic zone have also been suffering from increasing droughts arising out of delayed and changing distribution patterns of precipitation. Prolong dry spells increase the frequencies of wildfire in grasslands, forests, and range-lands. The rain-fed crops of the plains are facing challenges from soil-moisture stress with projected droughts. Droughts causing migration of fishes, and marine anadromus species are having adverse impacts on spawning habitats. Reduction in annual surface runoff is decreasing the ground and surface water with negative effect on agriculture and water supply for industrial and domestic sectors. As droughts are exacerbating the consequences are accelerating. However, traditionally people are adapting with the changing situations applying indigenous knowledge and practices for sustainable living. This paper reflects on prevalence and impacts of droughts, existing coping mechanisms, initiatives to combat impacts and further doubles in the context of Asian LDCs. © 2014 The Author.","Asian LDCs; Asian monsoon; Climate change effects; Food security; Migration","climate effect; developing world; drought; living standard; sustainability; vulnerability; Asia; Pisces",Article,"Final",Scopus,2-s2.0-84928774154
"Weng K.C., Glazier E., Nicol S.J., Hobday A.J.","Fishery management, development and food security in the Western and Central Pacific in the context of climate change",2015,"Deep-Sea Research Part II: Topical Studies in Oceanography","113",,,"301","311",,"10.1016/j.dsr2.2014.10.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924326221&doi=10.1016%2fj.dsr2.2014.10.025&partnerID=40&md5=0cfa2e90b61a57d2674a1e2586bf46fd","In the coming decades, fishery resource managers and policy-makers in Pacific Island countries and territories (PICTs) will be increasingly challenged by the need to ensure food security in the context of a changing climate, increasing human pressure on the marine environment, and limited understanding of marine ecosystems and associated resources. These decision-makers must address a pressing and overarching question - how will pelagic resources and pressures on such resources change over time and space? Answering this question requires ongoing inquiry into critical dimensions of pelagic species and systems, for both the commercial tuna species that are managed by Regional Fishery Management Organizations (RFMOs), as well as nearshore pelagic fishes that support many small-scale fisheries and are managed at national and local levels. Research priorities include generating further insight into life history and physiology, oceanographic context, movement and migration, food webs, ecosystem dynamics and stock status. Concurrently, socioeconomic research is needed to tailor fisheries management strategies to local, national and regional conditions; and improve understanding of incentive structures among players in RFMOs such as the Western and Central Pacific Fisheries Commission. PICT-based scientists and managers are ideally situated to generate new fisheries-relevant data; however, investments are needed to expand the capacity for research, management, and sustainable fisheries development within PICTs. Such capacity building can be accelerated through collaboration between PICTs, RFMOs, and scientific centers of excellence in Distant Water Fishing Nations. Without increased capacity development, this region will be adversely affected by the impacts of climate change and less able to take advantage of opportunities for economic development. © 2014 Elsevier Ltd.","Capacity building; Coastal fisheries; Tuna; Western and central pacific ocean","Decision making; Economics; Ecosystems; Fisheries; Food supply; Managers; Research and development management; Capacity building; Capacity development; Coastal fisheries; Fisheries management; Pacific ocean; Small-scale fisheries; Socioeconomic research; Tuna; Climate change; capacity building; climate change; decision making; economic development; fishery management; food security; food web; mariculture; movement; pelagic fish; policy making; Pacific Ocean; Pacific Ocean (Central); Pacific Ocean (West); Pisces; Scombridae",Article,"Final",Scopus,2-s2.0-84924326221
"Gwenzi W., Chaukura N., Mukome F.N.D., Machado S., Nyamasoka B.","Biochar production and applications in sub-Saharan Africa: Opportunities, constraints, risks and uncertainties",2015,"Journal of Environmental Management","150",,,"250","261",,"10.1016/j.jenvman.2014.11.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919914861&doi=10.1016%2fj.jenvman.2014.11.027&partnerID=40&md5=eaa894be066c5cb149ba04ee9aaa384f","Sub-Saharan Africa (SSA) experiences soil degradation, food and livelihood insecurity, environmental pollution and lack of access to energy. Biochar has gained international research attention, but few studies have investigated the potential of biochar to address the challenges in SSA. This paper seeks to identify and evaluate generic potential opportunities and constraints associated with biochar application in sub-Saharan Africa using Zimbabwe as case study. Specific objectives were to; (1) identify and quantify feedstocks for biochar production; (2) review literature on the biochar properties, and evaluate its potential applications in agriculture, environmental remediation and energy provision, and (3) identify research gaps, risks and constraints associated with biochar technology. Biochar feedstocks in Zimbabwe were estimated to be 9.9Mtonyr-1, predominantly derived from manure (88%) and firewood (10%). This will yield 3.5, 1.7 and 3.1Mtonyr-1 of biochar, bio-oil and synthetic gas, respectively. Land application of the 3.5Mtonyr-1 of biochar (≈63% C) would sequester approximately 2.2Mtonyr-1 of soil carbon in Zimbabwe alone, while simultaneously minimizing the environmental and public health risks, and greenhouse gas emissions associated with solid organic wastes. Biochar potentially enhances soil and crop productivity through enhanced nutrient and soil moisture availability, amelioration of acidic soils and stimulation of microbial diversity and activity. Due to its excellent adsorption properties, biochar has potential applications in industrial and environmental applications including water and wastewater treatment, remediation and revegetation of contaminated soils and water. Biochar products have energy values comparable or higher than those of traditional biomass fuels; thereby making them ideal alternative sources of energy especially for poor households without access to electricity. Before the benefits of biochar can be realized in SSA, there is need to overcome multiple risks and constraints such as lack of finance, socio-economic constraints including negative perceptions and attitudes among both researchers and consumers, and environmental and public health risks. Therefore, there is need to conduct fundamental research to demonstrate the benefits of biochar applications, and develop policy framework and criteria for its production and subsequent adoption. © 2014 Elsevier Ltd.","Biochar; Carbon sequestration; Climate change; Crop productivity; Energy provision; Pyrolysis; Smallholder agroecosystems; Zimbabwe","biochar; charcoal; unclassified drug; biochar; soil; biofuel; biomass; carbon sequestration; charcoal; climate change; crop production; energy planning; health risk; potential energy; resource assessment; smallholder; adsorption; Africa south of the Sahara; agriculture; carbon footprint; carbon sequestration; crop production; ecosystem restoration; energy resource; manure; microbial activity; microbial diversity; organic waste; pyrolysis; revegetation; Review; soil moisture; soil quality; carbon sequestration; chemistry; environmental protection; human; industry; risk; soil; Zimbabwe; Sahara; Zimbabwe; Africa South of the Sahara; Carbon Sequestration; Charcoal; Conservation of Natural Resources; Humans; Industry; Risk; Soil; Zimbabwe",Review,"Final",Scopus,2-s2.0-84919914861
"Paroissien J.-B., Darboux F., Couturier A., Devillers B., Mouillot F., Raclot D., Le Bissonnais Y.","A method for modeling the effects of climate and land use changes on erosion and sustainability of soil in a Mediterranean watershed (Languedoc, France)",2015,"Journal of Environmental Management","150",,,"57","68",,"10.1016/j.jenvman.2014.10.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913534833&doi=10.1016%2fj.jenvman.2014.10.034&partnerID=40&md5=a686a21d5122dfd39c9df45635b1f85c","Global climate and land use changes could strongly affect soil erosion and the capability of soils to sustain agriculture and in turn impact regional or global food security. The objective of our study was to develop a method to assess soil sustainability to erosion under changes in land use and climate. The method was applied in a typical mixed Mediterranean landscape in a wine-growing watershed (75km2) within the Languedoc region (La Peyne, France) for two periods: a first period with the current climate and land use and a second period with the climate and land use scenarios at the end of the twenty-first century. The Intergovernmental Panel on Climate Change A1B future rainfall scenarios from the Météo France General circulation model was coupled with four contrasting land use change scenarios that were designed using a spatially-explicit land use change model. Mean annual erosion rate was estimated with an expert-based soil erosion model. Soil life expectancy was assessed using soil depth. Soil erosion rate and soil life expectancy were combined into a sustainability index. The median simulated soil erosion rate for the current period was 3.5t/ha/year and the soil life expectancy was 273 years, showing a low sustainability of soils. For the future period with the same land use distribution, the median simulated soil erosion rate was 4.2t/ha/year and the soil life expectancy was 249 years. The results show that soil erosion rate and soil life expectancy are more sensitive to changes in land use than to changes in precipitation. Among the scenarios tested, institution of a mandatory grass cover in vineyards seems to be an efficient means of significantly improving soil sustainability, both in terms of decreased soil erosion rates and increased soil life expectancies. © 2014 Elsevier Ltd.","Climate change; Land use change; Modeling; Soil erosion; Soil sustainability","rain; soil; water pollutant; circulation modeling; climate effect; food security; global climate; grassland; land use change; Mediterranean soil; soil depth; soil erosion; sustainability; vine; watershed; agricultural management; arable land; Article; autumn; climate change; controlled study; environmental sustainability; forest; land use; pedogenesis (soil); risk assessment; soil depth; soil erosion; spring; summer; vineyard; viniculture; watershed; winter; agriculture; analysis; chemistry; environmental protection; France; human; soil; theoretical model; water pollutant; France; Languedoc; Agriculture; Climate Change; Conservation of Natural Resources; France; Humans; Models, Theoretical; Soil; Water Pollutants, Chemical",Article,"Final",Scopus,2-s2.0-84913534833
"Vico G., Porporato A.","Ecohydrology of Agroecosystems: Quantitative Approaches Towards Sustainable Irrigation",2015,"Bulletin of Mathematical Biology","77","2",,"298","318",,"10.1007/s11538-014-9988-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939459801&doi=10.1007%2fs11538-014-9988-9&partnerID=40&md5=9edec4f02d7c7e9918ed34a69dc9353a","Irrigation represents one of the main strategies to enhance and stabilize agricultural productivity, by mitigating the effects of rainfall vagaries. In the face of the projected growth in population and in biofuel demands, as well as shifts in climate and dietary habits, a more sustainable management of water resources in agroecosystems is needed. The field of ecohydrology, traditionally focusing on natural ecosystems, has the potential to offer the necessary quantitative tools to assess and compare agricultural enterprises across climates, soil types, crops, and irrigation strategies, accounting for the unpredictability of the hydro-climatic forcing. Here, agricultural sustainability and productivity are assessed with reference to water productivity (defined as the ratio between yield and total supplied water), yields, water requirements, and their variability—a crucial element for food security and resource allocation planning. These synthetic indicators are quantified by means of a probabilistic description of the soil water balance and crop development. The model results allow the interpretation of patterns of water productivity observed in Zea mays (maize) and Triticum aestivum (wheat), grown under a variety of soils, climates, and irrigation strategies. Employing the same modeling framework, the impact of rainfall pattern and irrigation strategy on yield and water requirements is further explored. The obtained standard deviations of yield and water requirements suggest the existence of a nonlinear tradeoff between yield stabilization and variability of water requirements, which in turn is strongly impacted by irrigation strategy. Moreover, intermediate rainfall amounts are associated to the highest variability in yields and irrigation requirements, although allowing the maximum water productivity. The existence of these tradeoffs between productivity, reliability, and sustainability poses a problem for water management, in particular in mesic climates. © 2014, Society for Mathematical Biology.","Irrigation; Rainfall unpredictability; Stochastic soil water balance; Sustainability; Water productivity; Yield","agriculture; ecosystem; environmental protection; human; hydrology; irrigation (agriculture); mathematical phenomena; procedures; statistical model; Agricultural Irrigation; Agriculture; Conservation of Natural Resources; Ecosystem; Humans; Hydrology; Mathematical Concepts; Models, Statistical",Article,"Final",Scopus,2-s2.0-84939459801
"McCauley D.J., Pinsky M.L., Palumbi S.R., Estes J.A., Joyce F.H., Warner R.R.","Marine defaunation: Animal loss in the global ocean",2015,"Science","347","6219","1255641","","",,"10.1126/science.1255641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922480047&doi=10.1126%2fscience.1255641&partnerID=40&md5=f18250cf3f64df712834bcdcf668d4a7","Marine defaunation, or human-caused animal loss in the oceans, emerged forcefully only hundreds of years ago, whereas terrestrial defaunation has been occurring far longer. Though humans have caused few global marine extinctions, we have profoundly affected marine wildlife, altering the functioning and provisioning of services in every ocean. Current ocean trends, coupled with terrestrial defaunation lessons, suggest that marine defaunation rates will rapidly intensify as human use of the oceans industrializes. Though protected areas are a powerful tool to harness ocean productivity, especially when designed with future climate in mind, additional management strategies will be required. Overall, habitat degradation is likely to intensify as a major driver of marine wildlife loss. Proactive intervention can avert a marine defaunation disaster of the magnitude observed on land. © 2015, American Association for the Advancement of Science. All rights reserved.",,"animal; anthropogenic effect; global ocean; habitat conservation; habitat fragmentation; protected area; wildfire; acidification; agricultural procedures; anchovy; aquatic fauna; baleen whale; bleaching; climate change; coastal waters; coral bleaching; coral reef; degradation; food web; genetic variability; gray whale; habitat; habitat degradation; human; krill; marine defaunation; marine environment; marine species; Mustelidae; nonhuman; ocean acidification; otter; pelagic fish; pisciculture; Pleistocene; priority journal; Review; sardine; sea; sea pollution; sea turtle; seabird; seal; shark; shorebird; species extinction; terrestrial species; trophic cascade; warming; whale; wildlife; animal; aquatic species; biodiversity; ecosystem; endangered species; human activities; population dynamics; sea; species extinction; wild animal; Animalia; sea water; Animals; Animals, Wild; Aquatic Organisms; Biodiversity; Climate Change; Ecosystem; Endangered Species; Extinction, Biological; Human Activities; Humans; Oceans and Seas; Population Dynamics; Seawater",Review,"Final",Scopus,2-s2.0-84922480047
"Xuebiao P., Li Q., Jing W., Chen C., Wanlin D., Wilkes A., Lair K., Opitz-Stapleton S., Barnett A.","Grasslands and livestock",2015,"Climate Risk and Resilience in China",,,,"156","180",,"10.4324/9781315744988-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086192678&doi=10.4324%2f9781315744988-19&partnerID=40&md5=200c076dd0d996336224c0f43ef36414","Grasslands cover a total of 52.5 million km2, or about 40% of the world’s icefree land area (White et al., 2000). The total biomass of the plant life found in grasslands accounts for about one-third of all land vegetation (Mooney et al., 2001). Grasslands are an important part of the greater terrestrial ecosystem, serving as an important ecological barrier, playing a role in climate regulation, and contributing to global and regional ecosystem balance (Chen and Jiang, 2003; Lu et al., 2009). They provide significant ecosystem services such as biodiversity conservation, regulation of the quantity and quality of water flows, sandstorm abatement and erosion and desertification control; they also serve an important function as a carbon sink (carbon stored in live vegetation), accounting for approximately one-sixth of the total global carbon biomass stock and a quarter of global soil carbon stock (de Fries et al., 1999; Mooney et al., 2001). In addition to their ecological importance, grasslands make up nearly 70% of all land used for agriculture worldwide (Suttie et al., 2005) and are a key productive resource for hundreds of millions of pastoralists who depend on grasslands for their livelihoods.1 More than 40% of China’s land area is grassland (Zhang, 2000; Chen et al., 2003), from the arid north-west and green meadows in the north and north-east to alpine meadows on the Tibetan Plateau and tropical or subtropical pastures in the south. Sheep, goats, cattle, horses and donkeys are raised on grasslands across China, sustaining the livelihoods of more than 35 million pastoralists (Liu, 2012) and contributing to food security for the whole country. Yet grasslands are very sensitive to changes in climate. They are complex ecosystems that rely on a balanced interaction between weather, sunlight, soil and water conditions, grazing animals and humans, and they are very sensitive to changes in any one of these factors. Even small changes can have significant effects on grassland biomass (the total dry weight of the plant life above and below ground in a specific area) production, species diversity and ecosystem services, all of which directly affect the livestock and the people that depend on them. As China’s temperatures continue to increase, and precipitation and weather patterns become more varied and more extreme (see Chapters 3 and 9), grasslands may see far-reaching changes in their size, condition (assessed by the proportion of a grassland covered by vegetation, plant diversity or biomass production) and ability to sustain life. For China, grassland-climate change impacts will be significant. Zhao Taihou is a herdsman raising more than 700 sheep on the grasslands of Siziwang Banner in Inner Mongolia. His livelihood is heavily dependent on the natural world; environmental and climate variability directly impact his family’s finances. There is a grazing ban in place on his summer pastures, but he can still collect grass and let his flock graze on his winter pastures. He is happiest when the grass grows well and his sheep have plenty to eat. Zhao’s primary concern is inadequate rain in summer and too much snow in winter. So far, he has been able to increase his flock’s resilience to extreme weather by installing pens that give his sheep some protection against the elements, but Zhao is likely to have to prepare for other changes to come. ‘To adapt to climate change, we have to reduce the number of livestock, but it will mean less income,’ he says. ‘We could also store more fodder each year. For example, we had 30 tonnes hoarded up for last winter. It would also help if we could dig a well so that we can water the fodder growing in the pastures.’ As with Zhao Taihou, many pastoralists in China depend on grasslands and their associated ecosystem services for their livelihoods and cultural identities (see Chapter 9). Changes in these delicate ecosystems could have devastating effects on a country carefully balancing the sustainability of its food production with the growing demand for food resources from an ever-increasing population. Thus, projecting and adapting to the potential effects of climate change on grasslands is necessary for China’s long-term sustainable development and social stability. This chapter provides an overview of China’s grasslands, some of the recent historical trends in their use and development, and the potential effects of climate change on grasslands and livestock production. It also discusses some of the recent research and work done to assess the impacts and risks of climate change to grasslands, using research from the Adapting to Climate Change in China I (ACCC I) programme as a case study. The chapter then summarises relevant policies related to mainstreaming climate adaptation considerations into grassland management and activities – being undertaken spontaneously by herders and promoted by various provincial governments in response to national-level policy guidance – to increase the ecological resilience of grasslands and the livelihoods of herders. © 2016 Rebecca Nadin, Sarah Opitz-Stapleton and Xu Yinlong.",,,Book Chapter,"Final",Scopus,2-s2.0-85086192678
"Macko S.A.","Global ocean challenges",2015,"Center for Oceans Law and Policy","18",,,"303","320",,"10.1163/9789004284081_018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051112807&doi=10.1163%2f9789004284081_018&partnerID=40&md5=4a1216c7e25f9bbd1f892ca54b875d02","The ocean influences nearly all activities on the planet, serving as a source of nutrition, energy and pathway for transport of resources while buffering the scale of variations in climate. It is also the portion of the planet that is perhaps in greatest need of data to address issues of the dramatic changes that are happening globally. Some of the changes are clearly the result of human inaction and lack of foresight. Fisheries, on which one sixth of human protein nutrition is derived, are in a state of near collapse for some species in the near term, owing to overfishing and mismanagement of a sustainable infrastructure. Lack of cautious application of new technologies and oversight has led to increasing levels of pollutants, sometimes catastrophically, as was evidenced in the recent Deepwater Horizon oil spill in the Gulf of Mexico. Global warming is influencing many aspects of the ocean system and will have collateral impacts beyond simply raising the temperature of the planet. Navigation and influence on transport are chief in our envisioning eventual impacts, and need to be anticipated, based on the best of models and data. Sea level rise and the associated coastal erosion, modifying waterways and ports, call for adaptive planning. Climate change could easily be seen to affect ocean circulation, wind dynamics, storm production and associated storm surges. Loss of sea ice in the Arctic will open new avenues which are economically and energetically more efficient for transport. With warming, and heightened destruction of ice sheets will likely come increased hazards from sea ice in shipping lanes. The rate of loss of the ice sheets such as that of Greenland is only beginning to be understood, and appears to be increasing. Sea ice coverage in the Arctic was the lowest on record in the summer of 2012, and the area of surface melt on the Greenland Ice Sheet was recorded at the highest, at 97%, since satellite images have documented its status. Diminishing ice cover will also influence an increase of fishing efforts and exploration for fossil fuels in the high Arctic. Without precise data on the sizes of fish stocks, the effects on commercial fisheries are complex, and beg for fundamental knowledge. Additionally, with the loss of sea ice, diminishing ice-based productivity may lead to a loss of diversity and modification of sustainable trophic structure in Arctic food webs. As a consequence of increased fossil fuel exploration, extraction and transport, the risk of contamination is heightened and at present only minimal preparation for impact and cleanup exists for this eventuality in fragile Arctic environments. The addition of massive amounts of carbon dioxide to the atmosphere and oceans, has changed the ocean chemistry, increasing the acidity or lowering the pH. Sound propagation in a more acid ocean may affect navigation as well as migration patterns of marine mammals and fish. Acidification influence on calcareous organisms at primary production levels could lead to catastrophic effects on the higher organisms of the food chains. The collateral impacts of the changing ocean in a period of global warming urgently require further study in order to enable adaptation and reduce vulnerability. Only through an appreciation for the past and a comprehensive understanding of the present, can we anticipate the future. The potential for that vision of the ocean lies with the cooperation among all nations. Copyright © 2016 by Koninklijke Brill NV, Leiden, The Netherlands. All rights reserved.",,,Book Chapter,"Final",Scopus,2-s2.0-85051112807
"Brevik E.C., Cerdà A., Mataix-Solera J., Pereg L., Quinton J.N., Six J., Van Oost K.","The interdisciplinary nature of SOIL",2015,"SOIL","1","1",,"117","129",,"10.5194/soil-1-117-2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029247556&doi=10.5194%2fsoil-1-117-2015&partnerID=40&md5=01b2c99588d9c8488ace6295113730ae","The holistic study of soils requires an interdisciplinary approach involving biologists, chemists, geologists, and physicists, amongst others, something that has been true from the earliest days of the field. In more recent years this list has grown to include anthropologists, economists, engineers, medical professionals, military professionals, sociologists, and even artists. This approach has been strengthened and reinforced as current research continues to use experts trained in both soil science and related fields and by the wide array of issues impacting the world that require an in-depth understanding of soils. Of fundamental importance amongst these issues are biodiversity, biofuels/energy security, climate change, ecosystem services, food security, human health, land degradation, and water security, each representing a critical challenge for research. In order to establish a benchmark for the type of research that we seek to publish in each issue of SOIL, we have outlined the interdisciplinary nature of soil science research we are looking for. This includes a focus on the myriad ways soil science can be used to expand investigation into a more holistic and therefore richer approach to soil research. In addition, a selection of invited review papers are published in this first issue of SOIL that address the study of soils and the ways in which soil investigations are essential to other related fields. We hope that both this editorial and the papers in the first issue will serve as examples of the kinds of topics we would like to see published in SOIL and will stimulate excitement among our readers and authors to participate in this new venture. © Author(s) 2015.",,"array; biodiversity; biofuel; food security; holistic approach; interdisciplinary approach; land degradation; soil science",Article,"Final",Scopus,2-s2.0-85029247556
"Khan S.","Preface",2015,"Water Ecosystem Services: A Global Perspective",,,,"xi","xii",,"10.1017/CBO9781316178904.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011321107&doi=10.1017%2fCBO9781316178904.001&partnerID=40&md5=8ba72b8d73c484eac8ae37d9f5c84049","Rapidly rising demand for food, raw materials, and energy is leading to intensifying human environmental footprints locally, nationally, and globally. This has consequences for the health of ecosystems and the services these provide. By considering the complex socio-economic interactions between the water, carbon-energy, food production, and climate cycles, UNESCO’s Natural Science Programme (principally through its International Hydrological Programme and the Man and Biosphere Programme) promotes trans-disciplinary approaches to help restore, enhance, and protect the sustainability of land and water systems. This new book, in the International Hydrology Series, is well aligned with the aims and objectives of UNESCO’s International Hydrological Programme by furthering the understanding and championing the potential of the ecosystem services-based approaches. Phase VIII (2014-2021) of the Programme is focused on ‘Water security: responses to local, regional, and global challenges’ and has a special theme on ‘Ecohydrology, engineering harmony for sustainable world’, to which this book is of direct relevance. The UNESCO Ecohydrology initiative involves the development of tools that integrate basin-wide human activities with hydrological cycles in order to sustain, improve, and restore the ecological functions of, and services in, river basins and coastal zones as a basis to support positive socio-economic development. Experiences gained through previous phases of the International Hydrological Programme, have shown that freshwater availability will become a major concern if no immediate action is taken to restore and enhance the associated ecosystems. Therefore, the knowledge presented in this book adds great value to inform global efforts on ensuring water security through UNESCO’s ongoing initiatives at the river basin level, such as the Hydrology for the Environment, Life and Policy, Ecohydrology and Integrated Water Resources Management Guidelines. The Hydrology for the Environment, Life and Policy in river basins initiative aims to deliver social, economic, and environmental benefits to stakeholders through research towards the sustainable use of water for human and environmental purposes. © UNESCO 2015. All rights reserved.",,,Editorial,"Final",Scopus,2-s2.0-85011321107
"Bégué A., Arvor D., Lelong C., Vintrou E., Simoes M.","Agricultural systems studies using remote sensing",2015,"Land Resources Monitoring, Modeling, and Mapping with Remote Sensing",,,,"113","130",,"10.1201/b19322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995395934&doi=10.1201%2fb19322&partnerID=40&md5=fac49d4ceaada3594c1860513bc4becd","Such evolutions must cope with climate change (characterized by changing rainfall patterns and an increasing number of extreme weather events) and its consequences (changing distributions of plant and vector-borne diseases, and increased crop yield variability), more competition for land (increased competition between food and bioenergy production), and the associated increased environmental pressures (e.g., overexploitation of ground water resources, water quality degradation, and soil degradation). As a consequence, in addition to the need to increase crop production, another major agricultural challenge is the task of improving the management of natural resources, especially through the adoption of more environmental-friendly practices, such as ecological intensication or conservation agriculture. Major agricultural powers such as Europe and Brazil have launched ambitious programs, for example, the Good Agricultural Practices (GAP) guidelines and the ABC Program (Brazilian Low Carbon Agriculture Program), respectively. xese programs give a special role to multifunctional landscapes to establish sustainable agriculture. Landscapes must be considered a whole land use system at the heart of human-nature relationships that need to be efficiently managed to preserve and restore ecosystem services (DeFries and Rosenzweig, 2010), and to contribute to sustainable solutions, especially regarding food security challenges (Verburg et al., 2013). In view of these global challenges, there is an urgent need to better characterize agricultural systems at the regional and global scales, with a particular emphasis on the various pathways toward agricultural intensification. Those systems are the key to understanding land use sustainability in agricultural territories. © 2016 by Taylor and Francis Group, LLC.",,"Climate change; Conservation; Crops; Cultivation; Ecosystems; Food supply; Groundwater; Groundwater resources; Land use; Plants (botany); Sustainable development; Water quality; Agricultural intensification; Conservation agricultures; Environmental pressures; Environmental-friendly; Good agricultural practices; Low carbon agricultures; Sustainable agriculture; Water quality degradation; Remote sensing",Book Chapter,"Final",Scopus,2-s2.0-84995395934
